Employee ID,Leave_Start_Date,Leave_End_Date,Date of joining the company,Type of Leave,Reason of Leave,Department/Team,Position in team,Application Status
666,02-05-2017,05-05-2017,13-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,University's Exam (GTU),Not Available,Forex Intern,Pending
616,21-04-2017,21-04-2017,18-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,Not keeping well  ,Not Available,Forex Intern,Approved
616,17-04-2017,17-04-2017,18-01-2017,Earned Leave Intern COE,Not keeping well,Not Available,Forex Intern,Rejected
616,27-01-2017,27-01-2017,18-01-2017,Earned Leave Intern COE,Leg injury,Not Available,Forex Intern,Rejected
616,09-03-2017,09-03-2017,18-01-2017,Earned Leave Intern COE,Not keeping well (feeling nauseated),Not Available,Forex Intern,Rejected
616,28-02-2017,28-02-2017,18-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,Personal reason,Not Available,Forex Intern,Rejected
735,10-04-2017,10-04-2017,18-02-2017,Earned Leave Intern COE,going to the Brother's  engagement ,Not Available,Forex Intern,Approved
735,11-04-2017,11-04-2017,18-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,"My health is not good today , kindly approve my leave.",Not Available,Forex Intern,Approved
735,24-04-2017,27-04-2017,18-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,"Internal exam in college , so kindly approve my leave.",Not Available,Forex Intern,Approved
735,20-03-2017,23-03-2017,18-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Internal exam in college,Not Available,Forex Intern,Approved
85,04-01-2017,04-01-2017,01-04-2015,Earned Leave Confirmed COE,Family Medical Emergency ,null,Forex Trader,Approved
85,30-03-2017,30-03-2017,01-04-2015,Earned Leave Confirmed COE,Medical Treatment for Brother,null,Forex Trader,Approved
85,13-02-2017,17-02-2017,01-04-2015,Earned Leave Confirmed COE,Out of town,null,Forex Trader,Rejected
85,27-01-2017,27-01-2017,01-04-2015,Earned Leave Confirmed COE,Go out for Holiday,null,Forex Trader,Rejected
246,27-02-2017,27-02-2017,10-11-2016,Leave Without Pay LWP for VHR Interns,sick leave,Business Process Management,Intern,Approved
246,16-01-2017,16-01-2017,10-11-2016,Earned Leave Intern VHR,Sick Leave,Business Process Management,Intern,Rejected
246,01-03-2017,01-03-2017,10-11-2016,Earned Leave Intern VHR,will not able to come. as I am stuck somewhere ,Business Process Management,Intern,Rejected
822,28-03-2017,28-03-2017,24-02-2017,Earned Leave Intern COE,College Internal VIVA,Not Available,Forex Intern,Approved
822,10-04-2017,13-04-2017,24-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Exam at collage,Not Available,Forex Intern,Approved
822,31-03-2017,03-04-2017,24-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Family tour at Sasan gir,Not Available,Forex Intern,Approved
167,12-04-2017,12-04-2017,12-02-2016,Sick Leave Confirmed COE,Not well,null,Trainee Dealer,Approved
167,23-02-2017,23-02-2017,12-02-2016,Sick Leave Confirmed COE,Appointment with doctor,null,Trainee Dealer,Approved
167,22-03-2017,22-03-2017,12-02-2016,Earned Leave Confirmed COE,College exam,null,Trainee Dealer,Approved
167,23-03-2017,23-03-2017,12-02-2016,Earned Leave Confirmed COE,College exam,null,Trainee Dealer,Approved
167,30-01-2017,30-01-2017,12-02-2016,Earned Leave Intern COE,Urgent work,null,Trainee Dealer,Approved
167,03-02-2017,03-02-2017,12-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,Sisters wedding,null,Trainee Dealer,Approved
167,09-02-2017,09-02-2017,12-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,College work,null,Trainee Dealer,Approved
167,16-02-2017,16-02-2017,12-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,College work,null,Trainee Dealer,Approved
167,02-03-2017,02-03-2017,12-02-2016,Earned Leave Confirmed COE,College Practical Exam,null,Trainee Dealer,Rejected
205,03-04-2017,03-04-2017,01-07-2016,Sick Leave Confirmed COE,sick,null,Trainee Dealer,Approved
205,23-03-2017,23-03-2017,01-07-2016,Earned Leave Confirmed COE,Appoinment with doctor.,null,Trainee Dealer,Approved
205,07-04-2017,07-04-2017,01-07-2016,Casual Leave Confirmed COE,Doctor appointment,null,Trainee Dealer,Approved
205,23-02-2017,23-02-2017,01-07-2016,Casual Leave Confirmed COE,Not feeling well.,null,Trainee Dealer,Rejected
479,17-04-2017,17-04-2017,09-12-2016,Earned Leave Intern COE,providend fund,Not Available,Forex Intern,Approved
479,03-03-2017,03-03-2017,09-12-2016,Earned Leave Intern COE,birthday,Not Available,Forex Intern,Approved
479,06-03-2017,17-03-2017,09-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,Travelling to Punjab (native place),Not Available,Forex Intern,Approved
479,28-03-2017,28-03-2017,09-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,sick,Not Available,Forex Intern,Approved
93,11-04-2017,11-04-2017,01-04-2016,Earned Leave Confirmed COE,Due to the sudden demise of my friend,null,Trainee Dealer,Approved
93,14-03-2017,17-03-2017,01-04-2016,Earned Leave Confirmed COE,Going to my hometown for Holi Festival ,null,Trainee Dealer,Approved
93,16-01-2017,16-01-2017,01-04-2016,Earned Leave Confirmed COE,Visiting native to see my sick grandmother,null,Trainee Dealer,Rejected
93,17-01-2017,17-01-2017,01-04-2016,Casual Leave Confirmed COE,Visiting native to see my sick grandmother,null,Trainee Dealer,Rejected
820,06-04-2017,06-04-2017,24-02-2017,Earned Leave Intern COE,Exam,Not Available,Forex Intern,Approved
820,07-04-2017,07-04-2017,24-02-2017,Earned Leave Intern COE,Exam,Not Available,Forex Intern,Approved
820,27-03-2017,27-03-2017,24-02-2017,Earned Leave Intern COE,Project Presentation at LJIET,Not Available,Forex Intern,Approved
820,03-04-2017,03-04-2017,24-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Exam ,Not Available,Forex Intern,Approved
820,04-04-2017,04-04-2017,24-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Exam,Not Available,Forex Intern,Approved
820,12-04-2017,12-04-2017,24-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Exam,Not Available,Forex Intern,Approved
820,13-04-2017,13-04-2017,24-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Exam,Not Available,Forex Intern,Approved
820,17-04-2017,17-04-2017,24-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Exam,Not Available,Forex Intern,Approved
820,18-04-2017,18-04-2017,24-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Exam,Not Available,Forex Intern,Approved
820,26-04-2017,28-04-2017,24-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Exam,Not Available,Forex Intern,Approved
820,01-05-2017,02-05-2017,24-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Exam,Not Available,Forex Intern,Approved
168,07-03-2017,07-03-2017,19-02-2016,Casual Leave Confirmed COE,Going for Family Function.,null,Trainee Dealer,Approved
168,12-01-2017,12-01-2017,19-02-2016,Earned Leave Intern COE,Having some personal family work.,null,Trainee Dealer,Approved
168,10-04-2017,21-04-2017,19-02-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Brother Wedding,null,Trainee Dealer,Approved
168,22-03-2017,22-03-2017,19-02-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Not Feeling Well,null,Trainee Dealer,Approved
168,14-02-2017,14-02-2017,19-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,Not feeling Well,null,Trainee Dealer,Approved
168,31-01-2017,03-02-2017,19-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,Family Function,null,Trainee Dealer,Approved
168,10-02-2017,10-02-2017,19-02-2016,Earned Leave Intern COE,Family Function ,null,Trainee Dealer,Rejected
422,17-04-2017,17-04-2017,28-11-2016,Earned Leave Intern COE,Going to my home town,Not Available,Forex Intern,Approved
422,12-01-2017,12-01-2017,28-11-2016,Earned Leave Intern COE,Had Class at Vile Parle,Not Available,Forex Intern,Approved
422,19-01-2017,19-01-2017,28-11-2016,Earned Leave Intern COE,Family Function,Not Available,Forex Intern,Approved
422,17-04-2017,17-04-2017,28-11-2016,Leave Without Pay for SixCap Mumbai COE Intern,Going to my home town,Not Available,Forex Intern,Approved
422,16-02-2017,16-02-2017,28-11-2016,Leave Without Pay for SixCap Mumbai COE Intern,Need to attend a class,Not Available,Forex Intern,Approved
422,14-03-2017,22-03-2017,28-11-2016,Leave Without Pay for SixCap Mumbai COE Intern,Had my Final Exams,Not Available,Forex Intern,Approved
674,10-04-2017,10-04-2017,06-02-2017,Earned Leave Intern COE,casual leave,Not Available,Forex Intern,Approved
674,10-02-2017,10-02-2017,06-02-2017,Earned Leave Intern COE,Doctor's Appontment (on that day i haven't got email and credential.,Not Available,Forex Intern,Rejected
180,06-02-2017,06-02-2017,01-03-2016,Earned Leave Intern COE,Personal Important Work,null,Trainee Dealer,Approved
180,07-02-2017,07-02-2017,01-03-2016,Earned Leave Intern COE,Mother hospitalised in emergency,null,Trainee Dealer,Approved
180,15-02-2017,15-02-2017,01-03-2016,Earned Leave Intern COE,Important Work,null,Trainee Dealer,Approved
180,09-01-2017,09-01-2017,01-03-2016,Earned Leave Intern COE,Personal Work,null,Trainee Dealer,Approved
180,10-02-2017,10-02-2017,01-03-2016,Earned Leave Intern COE,Personal Reason,null,Trainee Dealer,Rejected
180,01-03-2017,07-03-2017,01-03-2016,Leave Without Pay for SixCap Mumbai COE Intern,Family Function,null,Trainee Dealer,Rejected
856,17-04-2017,17-04-2017,15-03-2017,Earned Leave Intern COE,project presentation,Finance,Forex Intern,Approved
856,10-04-2017,13-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,MID SEMESTER EXAMINATION 2,Finance,Forex Intern,Approved
856,27-04-2017,27-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,EXAM,Finance,Forex Intern,Approved
856,28-04-2017,28-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,Exam,Finance,Forex Intern,Approved
856,03-05-2017,05-05-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,EXAM,Finance,Forex Intern,Approved
856,10-04-2017,14-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,MID SEMESTER EXAMINATION-2,Finance,Forex Intern,Rejected
111,28-03-2017,28-03-2017,01-07-2016,Earned Leave Confirmed COE,Due to the start of Hindu New Year and celebration ,null,Trainee Dealer,Approved
111,30-03-2017,30-03-2017,01-07-2016,Earned Leave Confirmed COE,Due to Driving Test,null,Trainee Dealer,Approved
111,30-03-2017,30-03-2017,01-07-2016,Earned Leave Confirmed COE,Due to Driving test ,null,Trainee Dealer,Approved
111,11-04-2017,11-04-2017,01-07-2016,Casual Leave Confirmed COE,"Due to sudden demise of my best friend, I wouldn't able to attend 2nd session ",null,Trainee Dealer,Approved
111,28-03-2017,28-03-2017,01-07-2016,Casual Leave Confirmed COE,Due to start of Hindu New Year and celebration ,null,Trainee Dealer,Approved
111,06-01-2017,06-01-2017,01-07-2016,Earned Leave Confirmed COE,not well,null,Trainee Dealer,Rejected
111,28-04-2017,28-04-2017,01-07-2016,Earned Leave Confirmed COE,I wasn't well,null,Trainee Dealer,Pending
111,28-04-2017,28-04-2017,01-07-2016,Earned Leave Confirmed COE,I wasn't well,null,Trainee Dealer,Pending
638,20-04-2017,20-04-2017,25-01-2017,Earned Leave Intern COE,Project submission at college.,Not Available,Forex Intern,Approved
638,24-04-2017,24-04-2017,25-01-2017,Earned Leave Intern COE,I need to go college to collect exam hall ticket. ,Not Available,Forex Intern,Approved
638,01-03-2017,01-03-2017,25-01-2017,Earned Leave Intern COE,"My uncle's marriage is on that day so I have to go there. Hence, I am putting leave over here.",Not Available,Forex Intern,Approved
638,20-03-2017,20-03-2017,25-01-2017,Earned Leave Intern COE,There will be presentation in our collage on 20th march. So I have to go there. Hence I am taking half leave.,Not Available,Forex Intern,Approved
638,07-04-2017,07-04-2017,25-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,I have Mid term Exam of collage at gandhinagar Institute of Technology.,Not Available,Forex Intern,Approved
638,10-04-2017,10-04-2017,25-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,Exam ,Not Available,Forex Intern,Approved
638,13-02-2017,13-02-2017,25-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,"I was try to submit the leave before but still it is not submitted. Hence i am putting it again. On 13th feb i went to collage for some important work so i could not come to company. Hence, please mark the attendance for said day.",Not Available,Forex Intern,Approved
638,21-02-2017,21-02-2017,25-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,"I was submitted leave on 20 feb but it was not submitted hence i am putting it now, My sister's marriage was gone before two days, So, There was function on 21 feb at my sister's home, I had to go there. Hence, i could not came to company.",Not Available,Forex Intern,Approved
638,08-03-2017,09-03-2017,25-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,"On both days we have a visit at Adani port, Mundra from our collage and it is very important so we have to go there. Hence we can not come to company. So please accept the leave for the said period.",Not Available,Forex Intern,Approved
638,24-03-2017,24-03-2017,25-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,I have an Exam of training. Hence I need to take half leave.,Not Available,Forex Intern,Approved
638,27-03-2017,27-03-2017,25-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,There is project presentation in our collage GIT. So I have to go collage. Hence I am taking this leave,Not Available,Forex Intern,Approved
638,02-05-2017,04-05-2017,25-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,Final Semester exams,Not Available,Forex Intern,Pending
596,09-02-2017,10-02-2017,21-12-2016,Earned Leave Intern COE,Going out of station for college IV,Not Available,Forex Intern,Approved
596,20-01-2017,20-01-2017,21-12-2016,Earned Leave Intern COE,Going college for submitting documents ,Not Available,Forex Intern,Approved
596,16-03-2017,16-03-2017,21-12-2016,Earned Leave Intern COE,Going Out of Station,Not Available,Forex Intern,Approved
596,17-03-2017,17-03-2017,21-12-2016,Earned Leave Intern COE,Going Out of Station,Not Available,Forex Intern,Approved
596,16-02-2017,17-02-2017,21-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,family tragedy,Not Available,Forex Intern,Approved
596,29-03-2017,29-03-2017,21-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,Not well,Not Available,Forex Intern,Approved
596,03-05-2017,04-05-2017,21-12-2016,Leave Without Pay for SixCap Mumbai COE Intern, final examination (MMS) ,Not Available,Forex Intern,Pending
80,31-03-2017,31-03-2017,11-02-2015,Earned Leave Confirmed COE,Travelling out of  town for the weekend,null,Forex Trader,Approved
80,21-04-2017,21-04-2017,11-02-2015,Casual Leave Confirmed COE,Travelling out of town,null,Forex Trader,Approved
80,21-02-2017,21-02-2017,11-02-2015,Earned Leave Confirmed COE,Family function,null,Forex Trader,Rejected
80,30-01-2017,01-02-2017,11-02-2015,Earned Leave Confirmed COE,Travelling out of station,null,Forex Trader,Rejected
80,23-02-2017,23-02-2017,11-02-2015,Casual Leave Confirmed COE,Family function,null,Forex Trader,Rejected
47,07-02-2017,07-02-2017,29-08-2016,Earned Leave Confirmed VHR,Puja at home,null,Sr Specialist BPM,Approved
47,10-02-2017,10-02-2017,29-08-2016,Earned Leave Confirmed VHR,"Cold, fever",null,Sr Specialist BPM,Approved
47,14-02-2017,14-02-2017,29-08-2016,Earned Leave Confirmed VHR,Family function,null,Sr Specialist BPM,Approved
47,23-03-2017,24-03-2017,29-08-2016,Earned Leave Confirmed VHR,"Study Leave, attached Timetable for reference",null,Sr Specialist BPM,Approved
47,28-03-2017,28-03-2017,29-08-2016,Earned Leave Confirmed VHR,Gudi Padwa and Birthday ,null,Sr Specialist BPM,Approved
79,29-03-2017,29-03-2017,11-02-2015,Earned Leave Confirmed COE,Going Delhi ,null,Forex Trader,Approved
79,12-01-2017,12-01-2017,11-02-2015,Casual Leave Confirmed COE,Going home (Delhi) for personal reason,null,Forex Trader,Approved
79,13-01-2017,13-01-2017,11-02-2015,Casual Leave Confirmed COE,Going Home (Delhi),null,Forex Trader,Approved
79,03-04-2017,04-04-2017,11-02-2015,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Going Home (Delhi),null,Forex Trader,Approved
79,08-02-2017,13-02-2017,11-02-2015,Earned Leave Confirmed COE,Going for VIPASSANA,null,Forex Trader,Rejected
79,30-03-2017,01-04-2017,11-02-2015,Earned Leave Confirmed COE,Going Home- Delhi,null,Forex Trader,Pending
116,18-01-2017,20-01-2017,01-07-2016,Earned Leave Confirmed COE,I am leaving to Rajasthan for family function,null,Trainee Dealer,Rejected
423,09-02-2017,09-02-2017,25-11-2016,Earned Leave Intern COE,out of station,Not Available,Forex Intern,Approved
423,02-01-2017,02-01-2017,25-11-2016,Earned Leave Intern COE,out of station,Not Available,Forex Intern,Approved
423,14-03-2017,14-03-2017,25-11-2016,Earned Leave Intern COE,gone out of station,Not Available,Forex Intern,Approved
423,02-02-2017,02-02-2017,25-11-2016,Leave Without Pay for SixCap Mumbai COE Intern,gone to police station ,Not Available,Forex Intern,Approved
423,10-02-2017,10-02-2017,25-11-2016,Leave Without Pay for SixCap Mumbai COE Intern,out of station,Not Available,Forex Intern,Approved
423,31-01-2017,31-01-2017,25-11-2016,Leave Without Pay for SixCap Mumbai COE Intern,going to passport office,Not Available,Forex Intern,Approved
423,17-03-2017,17-03-2017,25-11-2016,Leave Without Pay for SixCap Mumbai COE Intern,gone to college for documentation,Not Available,Forex Intern,Approved
423,15-03-2017,15-03-2017,25-11-2016,Leave Without Pay for SixCap Mumbai COE Intern,gone out of station,Not Available,Forex Intern,Rejected
423,03-04-2017,18-04-2017,25-11-2016,Leave Without Pay for SixCap Mumbai COE Intern,examination of university of mumbai,Not Available,Forex Intern,Pending
739,24-03-2017,24-03-2017,20-02-2017,Earned Leave Intern COE,for some personal work,Not Available,Forex Intern,Approved
656,01-03-2017,01-03-2017,06-02-2017,Earned Leave Intern COE,EXAM,Not Available,Forex Intern,Approved
656,02-05-2017,02-05-2017,06-02-2017,Earned Leave Intern COE,M.com exam,Not Available,Forex Intern,Approved
849,03-04-2017,05-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,"admitted in hospital due to  fever and diarrhea, so medical certificate submitted",Finance,Forex Intern,Approved
849,18-04-2017,18-04-2017,15-03-2017,Earned Leave Intern COE,project presentation and submissions,Finance,Forex Intern,Rejected
486,20-12-2016,20-12-2016,13-12-2016,Earned Leave Intern COE,Family Function,Not Available,Forex Intern,Approved
486,17-02-2017,17-02-2017,13-12-2016,Earned Leave Intern COE,Family Function,Not Available,Forex Intern,Approved
486,14-04-2017,14-04-2017,13-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,Family Function,Not Available,Forex Intern,Approved
486,02-05-2017,02-05-2017,13-12-2016,Earned Leave Intern COE,Stomach Upset,Not Available,Forex Intern,Pending
486,18-04-2017,21-04-2017,13-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,Family Function,Not Available,Forex Intern,Pending
869,24-04-2017,28-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,"Because of  to attend my younger sister%u2019s marriage ceremony in Dayapar, Kutch.",Finance,Forex Intern,Approved
846,02-05-2017,05-05-2017,03-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,final exam ,Finance,Forex Intern,Pending
630,17-04-2017,17-04-2017,19-01-2017,Earned Leave Intern COE,Submission ,Not Available,Forex Intern,Approved
630,16-03-2017,16-03-2017,19-01-2017,Earned Leave Intern COE,College Techfest,Not Available,Forex Intern,Approved
630,05-04-2017,07-04-2017,19-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,mid semester exam,Not Available,Forex Intern,Approved
630,12-04-2017,13-04-2017,19-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,Midsemester exam,Not Available,Forex Intern,Approved
630,23-03-2017,23-03-2017,19-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,Project work,Not Available,Forex Intern,Approved
630,18-04-2017,18-04-2017,19-01-2017,Earned Leave Intern COE,Submission at college ,Not Available,Forex Intern,Rejected
614,17-01-2017,17-01-2017,06-01-2017,Earned Leave Intern COE,doctor's appointment,Not Available,Forex Intern,Approved
614,10-03-2017,10-03-2017,06-01-2017,Earned Leave Intern COE,regular check-up,Not Available,Forex Intern,Approved
614,30-03-2017,30-03-2017,06-01-2017,Earned Leave Intern COE,Going out of Gujarat,Not Available,Forex Intern,Approved
614,31-03-2017,31-03-2017,06-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,Going out of Gujarat,Not Available,Forex Intern,Approved
507,31-03-2017,31-03-2017,07-12-2016,Earned Leave Intern COE,Will be out of station,Not Available,Intern,Approved
507,25-01-2017,25-01-2017,07-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,Was out of station,Not Available,Intern,Approved
507,27-01-2017,27-01-2017,07-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,Was out of station,Not Available,Intern,Approved
617,03-04-2017,03-04-2017,02-01-2017,Earned Leave Intern COE,college exams.,Not Available,Forex Intern,Approved
617,04-04-2017,04-04-2017,02-01-2017,Earned Leave Intern COE,Family function,Not Available,Forex Intern,Approved
617,05-04-2017,05-04-2017,02-01-2017,Earned Leave Intern COE,college exams.,Not Available,Forex Intern,Approved
617,06-04-2017,06-04-2017,02-01-2017,Earned Leave Intern COE,college exams.,Not Available,Forex Intern,Approved
617,07-04-2017,07-04-2017,02-01-2017,Earned Leave Intern COE,college exams.,Not Available,Forex Intern,Approved
617,17-02-2017,17-02-2017,02-01-2017,Earned Leave Intern COE,friend's marriage,Not Available,Forex Intern,Approved
617,24-03-2017,24-03-2017,02-01-2017,Earned Leave Intern COE,I have an dentist appointment.,Not Available,Forex Intern,Approved
617,03-05-2017,03-05-2017,02-01-2017,Earned Leave Intern COE,University exam.,Not Available,Forex Intern,Approved
617,21-02-2017,21-02-2017,02-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,I have an appointment at passport office.,Not Available,Forex Intern,Approved
169,31-03-2017,31-03-2017,09-02-2016,Earned Leave Confirmed COE,personal reason,null,Trainee Dealer,Approved
169,31-03-2017,31-03-2017,09-02-2016,Earned Leave Confirmed COE,personal reason,null,Trainee Dealer,Approved
169,31-03-2017,31-03-2017,09-02-2016,Earned Leave Confirmed COE,personal reasons,null,Trainee Dealer,Approved
169,17-04-2017,17-04-2017,09-02-2016,Casual Leave Confirmed COE,daughter is not well,null,Trainee Dealer,Approved
169,23-12-2016,23-12-2016,09-02-2016,Earned Leave Intern COE,Personal Reason,null,Trainee Dealer,Approved
169,16-02-2017,16-02-2017,09-02-2016,Earned Leave Intern COE,My daughter have fever todah,null,Trainee Dealer,Approved
169,09-01-2017,09-01-2017,09-02-2016,Earned Leave Intern COE,Health issue,null,Trainee Dealer,Approved
169,18-01-2017,18-01-2017,09-02-2016,Earned Leave Intern COE,health problem,null,Trainee Dealer,Approved
169,19-04-2017,20-04-2017,09-02-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Personal problem,null,Trainee Dealer,Approved
169,06-03-2017,10-03-2017,09-02-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Having a village trip for a personal Reason,null,Trainee Dealer,Approved
169,27-01-2017,30-01-2017,09-02-2016,Leave Without Pay for SixCap Mumbai COE Intern,health problem,null,Trainee Dealer,Approved
169,13-02-2017,13-02-2017,09-02-2016,Earned Leave Intern COE,My daughter not well ,null,Trainee Dealer,Rejected
865,06-04-2017,06-04-2017,15-03-2017,Earned Leave Intern COE,submission ,Finance,Forex Intern,Approved
865,24-04-2017,27-04-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,End sem exam,Finance,Forex Intern,Approved
865,20-03-2017,23-03-2017,15-03-2017,Leave Without Pay for SixCap Mumbai COE Intern,mid sem exam,Finance,Forex Intern,Approved
679,20-04-2017,20-04-2017,20-01-2017,Earned Leave Intern COE,As i am having a family function to attend.,Not Available,Forex Intern,Approved
181,17-04-2017,17-04-2017,01-03-2016,Earned Leave Confirmed COE,Going out of Town,null,Trainee Dealer,Approved
181,03-03-2017,03-03-2017,01-03-2016,Earned Leave Confirmed COE,Due  to  some  prior  commitment ,null,Trainee Dealer,Approved
181,27-01-2017,27-01-2017,01-03-2016,Earned Leave Intern COE,Going out of town,null,Trainee Dealer,Approved
181,29-03-2017,29-03-2017,01-03-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,I am  not  feeling  well  ,null,Trainee Dealer,Approved
181,01-03-2017,01-03-2017,01-03-2016,Earned Leave Confirmed COE,Due to some prior commitments ,null,Trainee Dealer,Rejected
12,03-04-2017,03-04-2017,04-05-2015,Sick Leave Confirmed VHR,Suffering from severe headaches and body pain,null,Manager BPM,Approved
593,10-04-2017,14-04-2017,19-12-2016,Leave Without Pay for SixCap Mumbai COE Intern,family function in village.,Not Available,Forex Intern,Pending
624,17-02-2017,17-02-2017,17-01-2017,Earned Leave Intern COE,casual,Not Available,Forex Intern,Approved
624,27-02-2017,27-02-2017,17-01-2017,Earned Leave Intern COE, Viral Infections (Sick Leave)  ,Not Available,Forex Intern,Approved
624,03-03-2017,03-03-2017,17-01-2017,Earned Leave Intern COE,regarding sick leave,Not Available,Forex Intern,Approved
624,10-04-2017,10-04-2017,17-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,regarding in my family some emergency,Not Available,Forex Intern,Approved
624,27-02-2017,27-02-2017,17-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,sick leave,Not Available,Forex Intern,Approved
624,24-03-2017,24-03-2017,17-01-2017,Earned Leave Intern COE,casual,Not Available,Forex Intern,Rejected
624,03-03-2017,03-03-2017,17-01-2017,Leave Without Pay for SixCap Mumbai COE Intern,regarding sick leave,Not Available,Forex Intern,Rejected
37,10-01-2017,11-01-2017,03-06-2016,Sick Leave Confirmed VHR,Sick Leave Last Month Pending for Approval,IT,Specialist IT,Approved
210,27-02-2017,27-02-2017,01-08-2016,Earned Leave Intern COE,Not feeling well,null,Forex Intern,Approved
210,11-01-2017,11-01-2017,01-08-2016,Earned Leave Intern COE,Bank work,null,Forex Intern,Approved
210,30-03-2017,31-03-2017,01-08-2016,Leave Without Pay for SixCap Mumbai COE Intern,I was not well  (Sick leave),null,Forex Intern,Approved
108,10-04-2017,10-04-2017,01-07-2016,Sick Leave Confirmed COE,Not feeling well,null,Trainee Dealer,Approved
108,08-03-2017,08-03-2017,01-07-2016,Sick Leave Confirmed COE,"Not feeling well, I had to visit to doctor",null,Trainee Dealer,Approved
108,03-03-2017,03-03-2017,01-07-2016,Earned Leave Confirmed COE,Not feeling well,null,Trainee Dealer,Approved
108,17-04-2017,17-04-2017,01-07-2016,Casual Leave Confirmed COE,I had some family emergency,null,Trainee Dealer,Approved
108,14-03-2017,14-03-2017,01-07-2016,Casual Leave Confirmed COE,I have to visit to doctor ,null,Trainee Dealer,Approved
108,16-01-2017,16-01-2017,01-07-2016,Earned Leave Confirmed COE,Not feeling well. ,null,Trainee Dealer,Rejected
108,24-02-2017,24-02-2017,01-07-2016,Casual Leave Confirmed COE,I had to visit to bank for some personal reasons,null,Trainee Dealer,Rejected
108,28-04-2017,28-04-2017,01-07-2016,Earned Leave Confirmed COE,Not feeling well,null,Trainee Dealer,Pending
20,15-12-2016,15-12-2016,18-11-2015,Sick Leave Confirmed VHR,Fever,Finance,Financial Analyst,Approved
20,21-12-2016,21-12-2016,18-11-2015,Casual Leave Confirmed VHR,Urgent Work,Finance,Financial Analyst,Approved
20,01-02-2017,01-02-2017,18-11-2015,Casual Leave Confirmed VHR,Family function at my native place on the occasion of %u201CBasant Panchmi%u201D,Finance,Financial Analyst,Pending
170,12-01-2017,12-01-2017,09-02-2016,Earned Leave Intern COE,I have some Personal work which I have to be complete,null,Trainee Dealer,Approved
